[Blitzen] Log Data
Compile Date:Oct 24 2022 Time:18:58:31

LineNo,Pattern,SPEED,ハンドル,左後モータ,右後モータ,左前モータ,右前モータ,psd,sensor,centor,距離,トータル距離
0334,011,02548,070,0100,0100,0100,0100,00071,00000,00001,07536,00000
0335,011,01911,071,0100,0100,0100,0100,00071,00000,00001,07557,00000
0336,011,02548,073,0100,0100,0100,0100,00071,00000,00001,07585,00000
0337,011,02184,074,0100,0100,0100,0100,00105,00000,00001,07609,00000
0338,011,02093,073,0100,0100,0100,0100,00105,00000,00001,07632,00000
0339,011,02639,073,-010,-010,-010,-010,00104,00000,00001,07661,00000
0340,011,01820,074,0100,0100,0100,0100,00105,00000,00001,07681,00000
0341,071,02639,072,-010,-010,-010,-010,00181,00000,00001,07710,00000
0342,072,02457,066,0100,0100,0100,0100,00186,00000,00001,07737,00000
0343,072,01820,060,0100,0100,0100,0100,00180,00000,00001,07757,00000
0344,072,02548,054,0100,0100,0100,0100,00180,00000,00001,07785,00000
0345,072,02184,046,0100,0100,0100,0100,00223,00000,00001,07809,00000
0346,072,02002,040,0100,0100,0100,0100,00221,00000,00001,07831,00000
0347,072,02548,033,0100,0100,0100,0100,00221,00000,00001,07859,00000
0348,072,02002,028,0100,0100,0100,0100,00221,00000,00001,07881,00000
0349,072,02548,026,0100,0100,0100,0100,00248,00000,00001,07909,00000
0350,072,02548,026,0100,0100,0100,0100,00247,00000,00001,07937,00000
0351,072,02093,027,0100,0100,0100,0100,00248,00000,00001,07960,00000
0352,072,02730,026,0100,0100,0100,0100,00249,00000,00001,07990,00000
0353,072,02457,025,0100,0100,0100,0100,00245,00000,00001,08017,00000
0354,072,02366,022,0100,0100,0100,0100,00243,00000,00001,08043,00000
0355,072,02730,019,0100,0100,0100,0100,00244,00000,00001,08073,00000
0356,072,02275,019,0100,0100,0100,0100,00249,00000,00001,08098,00000
0357,072,02912,016,0100,0100,0100,0100,00177,00000,00001,08130,00000
0358,072,02366,015,0100,0100,0100,0100,00182,00000,00001,08156,00000
0359,072,03094,013,0100,0100,0100,0100,00176,00000,00001,08190,00000
